Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,1040.00712,733.58377,306.42335,6030.00000,392,393,0,1,0.00000,0.00000,200.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,1033.75054,727.32719,306.42335,30.00000,390,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,1034.45813,730.00858,304.44955,30.00000,390,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,1043.17265,738.72310,304.44955,30.00000,392,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,1043.17265,738.72310,304.44955,30.00000,392,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,1051.44027,738.72310,312.71717,30.00000,393,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,1056.09546,741.40449,314.69097,30.00000,395,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,1056.54236,741.85139,314.69097,30.00000,396,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,1054.79201,741.85139,312.94062,30.00000,396,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,1059.03754,746.09692,312.94062,5542.00000,398,2,0,0,33.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,33,3,120,360
2022-01-11,1056.84029,745.87348,310.96682,5542.00000,396,0,0,1,47.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,47,3,120,360
2022-01-12,1055.49960,744.08588,311.41372,5542.00000,397,2,0,1,37.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,37,3,120,360
2022-01-13,1044.32714,741.18104,303.14610,2786.00000,394,0,0,2,16.00000,0.00000,400.00000,30,0,,10,0,0,2756.00000,,16,1,30,120
2022-01-14,1044.32714,741.18104,303.14610,30.00000,394,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,1044.32714,741.18104,303.14610,30.00000,394,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,1044.55059,741.40449,303.14610,30.00000,395,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,1041.64575,738.49965,303.14610,30.00000,393,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,1047.49267,746.32037,301.17230,30.00000,393,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,1053.74925,753.24730,300.50195,5542.00000,395,3,0,0,44.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,44,3,120,360
2022-01-20,1053.97270,753.47075,300.50195,5542.00000,396,1,0,0,41.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,41,3,120,360
2022-01-21,1056.20719,756.15214,300.05505,5542.00000,396,1,0,0,41.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,41,3,120,360
2022-01-22,1054.23339,756.15214,298.08125,2786.00000,395,0,0,0,19.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,19,1,30,120
2022-01-23,1054.23339,756.15214,298.08125,30.00000,395,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,1054.23339,756.15214,298.08125,30.00000,395,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,954.57504,656.49379,298.08125,6030.00000,366,1,30,0,0.00000,6000.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
