site_type,equipment
311,CatalyticHeater;FlareKnockOutDrum;GasBoot;GasPipelineHeader;Incinerator;LineHeater;LiquidPipelineHeader;PigTrap(GasService);PopTank;ProductionTank(fixedroof-heavyoil);ScrewCompressor;Separator;Intermittent;LevelController;PressureController;Pump;Transducer;
321,CatalyticHeater;FlareKnockOutDrum;GasBoot;GasPipelineHeader;Incinerator;LineHeater;LiquidPipelineHeader;PigTrap(GasService);PopTank;ProductionTank(fixedroof-heavyoil);ScrewCompressor;Separator;Intermittent;LevelController;PressureController;Pump;Transducer;
322,CatalyticHeater;FlareKnockOutDrum;GasBoot;GasPipelineHeader;GasSweeteningAmine;LineHeater;LiquidPipelineHeader;LiquidPump;PigTrap(GasService);PigTrap(LiquidService);PopTank;PowerGenerator(naturalgasfired);ProductionTank(fixedroof-heavyoil);PropaneFuelTank;ReciprocatingCompressor;Reciprocating Compressor-ElectricDriver;ScrewCompressor;ScrewCompressor-ElectricDriver;Scrubber;Separator;TankHeater;Treater;Intermittent;LevelController;Positioner;PressureController;Pump;Transducer;
341,CatalyticHeater;GasPipelineHeader;ProductionTank(fixedroof-heavyoil);PropaneFuelTank;ScrewCompressor;TankHeater;
342,CatalyticHeater;HeavyLiquidPipelineHeader;ProductionTank(fixedroof-heavyoil);PropaneFuelTank;ScrewCompressor;TankHeater;
351,CatalyticHeater;FlareKnockOutDrum;GasPipelineHeader;PigTrap(GasService);PopTank;ProductionTank(fixedroof-heavyoil);ReciprocatingCompressor;Separator;Intermittent;LevelController;PressureController;Pump;
361,CatalyticHeater;FlareKnockOutDrum;GasPipelineHeader;PigTrap(GasService);PopTank;ProductionTank(fixedroof-heavyoil);ReciprocatingCompressor;Separator;Intermittent;LevelController;PressureController;Pump;
362,CatalyticHeater;FlareKnockOutDrum;GasPipelineHeader;PigTrap(GasService);ProductionTank(fixedroof-heavyoil);ReciprocatingCompressor;Separator;TankHeater;Intermittent;LevelController;Positioner;PressureController;Pump;Transducer;
363,CatalyticHeater;GasMeterBuilding;GasPipelineHeader;Separator;Intermittent;LevelController;PressureController;
364,CatalyticHeater;FlareKnockOutDrum;GasPipelineHeader;GasSweeteningAmine;PigTrap(GasService);PowerGenerator(naturalgasfired);ProductionTank(fixedroof-heavyoil);ReciprocatingCompressor;ScrewCompressor;Separator;StorageBullet;Intermittent;LevelController;Positioner;PressureController;Pump;Transducer;
601,CatalyticHeater;FlareKnockOutDrum;GasPipelineHeader;PigTrap(GasService);PopTank;ProductionTank(fixedroof-heavyoil);ReciprocatingCompressor;Reciprocating Compressor-ElectricDriver;ScrewCompressor;Separator;Intermittent;LevelController;Positioner;PressureController;Pump;Transducer;
611,CatalyticHeater;FlareKnockOutDrum;GasMeterBuilding;LACTUnit;LiquidPump;PigTrap(GasService);PopTank;ProductionTank(fixedroof-heavyoil);ScrewCompressor-ElectricDriver;Scrubber;Separator;Treater;Intermittent;LevelController;PressureController;Pump;Transducer;
621,CatalyticHeater;FlareKnockOutDrum;GasMeterBuilding;GasPipelineHeader;LiquidPump;PigTrap(GasService);PigTrap(LiquidService);ProcessBoiler;ProductionTank(fixedroof-heavyoil);ReciprocatingCompressor;Reciprocating Compressor-ElectricDriver;ScrewCompressor;ScrewCompressor-ElectricDriver;Separator;Intermittent;LevelController;Positioner;PressureController;Pump;Transducer;
