Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,12902.87934,12902.87934,0,0.00000,297,298,0,1,0,0,200.00000
2022-01-02,12645.80864,12645.80864,0,0.00000,295,0,0,2,0,0,400.00000
2022-01-03,12698.16032,12698.16032,0,0.00000,295,1,0,1,0,0,200.00000
2022-01-04,12708.49298,12708.49298,0,0.00000,295,1,0,1,0,0,200.00000
2022-01-05,12710.91169,12710.91169,0,0.00000,296,1,0,0,0,0,0.00000
2022-01-06,12674.38214,12674.38214,0,0.00000,295,0,0,1,0,0,200.00000
2022-01-07,12700.72681,12700.72681,0,0.00000,297,2,0,0,0,0,0.00000
2022-01-08,12702.16173,12702.16173,0,0.00000,298,1,0,0,0,0,0.00000
2022-01-09,12757.61402,12757.61402,0,0.00000,299,1,0,0,0,0,0.00000
2022-01-10,12757.61402,12757.61402,0,0.00000,299,0,0,0,0,0,0.00000
2022-01-11,12757.19200,12757.19200,0,0.00000,298,0,0,1,0,0,200.00000
2022-01-12,12736.13800,12736.13800,0,0.00000,297,0,0,1,0,0,200.00000
2022-01-13,12691.42674,12691.42674,0,0.00000,296,0,0,1,0,0,200.00000
2022-01-14,12689.21618,12689.21618,0,0.00000,295,0,0,1,0,0,200.00000
2022-01-15,12867.56716,12867.56716,0,0.00000,296,2,0,1,0,0,200.00000
2022-01-16,13019.95113,13019.95113,0,0.00000,297,3,0,2,0,0,400.00000
2022-01-17,13018.52157,13018.52157,0,0.00000,296,0,0,1,0,0,200.00000
2022-01-18,13021.27850,13021.27850,0,0.00000,297,1,0,0,0,0,0.00000
2022-01-19,13001.27954,13001.27954,0,0.00000,295,0,0,2,0,0,400.00000
2022-01-20,13125.68337,13125.68337,0,0.00000,296,1,0,0,0,0,0.00000
2022-01-21,13129.04378,13129.04378,0,0.00000,296,1,0,1,0,0,200.00000
