,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),Region
0,P_aircraft,2.0,3317310.9224661374,71330.0,0.8810040665113359,540510.7866325888,BV
1,P_truck,2.0,3332937.643103895,72940.0,0.8961765357248626,543056.9486480934,BV
2,P_drone,2.0,3316500.1913231076,73580.0,0.9098517605107036,540378.6889974533,BV
3,P_OGI,2.0,3055349.4621341983,90512.0,1.242626015596579,497827.7224577734,BV
4,P_stationary,2.0,4037436.8663303005,250030.0,2.603619666070011,657845.53441173,BV
0,P_aircraft,2.0,2605577.81314323,87810.0,1.251887073085395,424543.5373201271,DV
1,P_truck,2.0,2601023.154000432,89300.0,1.2763143879730297,423801.41743638506,DV
2,P_drone,2.0,2599393.6190557024,90020.0,1.2871578314239307,423535.90683595964,DV
3,P_OGI,2.0,2508723.279427451,103752.0,1.551968640322846,408762.40572552517,DV
4,P_stationary,2.0,2905562.353430155,244470.0,3.1259187934655204,473421.94625972706,DV
0,P_aircraft,2.0,2589037.2346179746,91610.0,1.3815761507998228,421848.4745662875,EDM
1,P_truck,2.0,2588883.7433842993,93300.0,1.407251769363311,421823.465253204,EDM
2,P_drone,2.0,2589037.2346179746,93860.0,1.4153759982336598,421848.4745662875,EDM
3,P_OGI,2.0,2480253.633998176,107312.0,1.7363136468116693,404123.663441251,EDM
4,P_stationary,2.0,2989912.564684081,249510.0,3.210361539614188,487165.6682390917,EDM
0,P_aircraft,2.0,2954912.7871123785,85930.0,1.1292256711246842,481462.92956026376,GP
1,P_truck,2.0,2955716.1498411186,87500.0,1.1491755263863273,481593.8266123072,GP
2,P_drone,2.0,2954905.7433626195,88180.0,1.1587452190673448,481461.78187685023,GP
3,P_OGI,2.0,2822013.3848588415,100592.0,1.412022275076089,459808.7758996662,GP
4,P_stationary,2.0,3327568.5090995384,242790.0,2.76130691851587,542182.1211410977,GP
0,P_aircraft,2.0,2706316.4330032268,84570.0,1.191522904514919,440957.52803050913,MDP
1,P_truck,2.0,2708460.039135784,86260.0,1.2143064160479482,441306.79955314274,MDP
2,P_drone,2.0,2707088.26645913,86820.0,1.2229555529051916,441083.2878155129,MDP
3,P_OGI,2.0,2285848.614192586,100752.0,1.650007687431959,372448.00425934745,MDP
4,P_stationary,2.0,3167797.970215912,240830.0,2.885842689175918,516149.6805073746,MDP
0,P_aircraft,2.0,3569126.6567692077,87930.0,0.8972844000054264,581540.7424660415,MH
1,P_truck,2.0,3575655.3534975746,89620.0,0.9125650122147013,582604.504979358,MH
2,P_drone,2.0,3569233.9830758525,90180.0,0.9201704506109873,581558.229830894,MH
3,P_OGI,2.0,3215836.0264070723,103952.0,1.2004109902263025,523976.8297095608,MH
4,P_stationary,2.0,3957244.7529198923,244150.0,2.235394741878939,644779.3180351937,MH
0,P_aircraft,2.0,2079067.1533879384,84170.0,1.4796594748549257,338755.77201074467,RD
1,P_truck,2.0,2079098.7606242965,85820.0,1.5085830178827746,338760.92198088206,RD
2,P_drone,2.0,2078627.3979938938,86420.0,1.5198140226090864,338684.1198383929,RD
3,P_OGI,2.0,1962119.557099245,101712.0,1.8994840564317053,319700.7486070898,RD
4,P_stationary,2.0,2509607.5175256557,240350.0,3.52397495733893,408906.480321245,RD
0,P_aircraft,2.0,2954986.067278314,90250.0,1.1039374568521525,481474.86956862,SL
1,P_truck,2.0,2944110.085656776,92060.0,1.1297832358195354,479702.77599070204,SL
2,P_drone,2.0,2955147.2374196495,92540.0,1.13198319599525,481501.13005547534,SL
3,P_OGI,2.0,2810196.5223078635,107592.0,1.3936145753597824,457883.37854553154,SL
4,P_stationary,2.0,3381888.3076358377,247870.0,2.6481227802069305,551032.7949919385,SL
0,P_aircraft,2.0,2688982.5052101808,83330.0,1.1791288746690183,438133.199782168,WW
1,P_truck,2.0,2691583.207605435,85020.0,1.2024483762068927,438556.94893632055,WW
2,P_drone,2.0,2688942.8996686507,85580.0,1.2113571240508905,438126.74659676943,WW
3,P_OGI,2.0,2593927.460127134,99472.0,1.4927227538796268,422645.27043455094,WW
4,P_stationary,2.0,3268793.014668285,241190.0,2.7876379672764102,532605.4521244538,WW
