,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),NEW Mitigation Ratio ($/tonne CO2e),Region,netmitigation cost $/tCO2,mitigated methane Mt
4,P_truck,basecase,560794.9600876608,207100.0,66.6171472493655,91373.9266837346,13.18918517076615,BV,7.370027088623293,0.0005607949600876608
1,P_aircraft,site_num,397567.7676290592,145350.0,68.19795861067206,64778.27126954773,13.057073161461192,BV,7.237915079318335,0.0003975677676290592
4,P_truck,mdl,297988.742942352,85100.0,53.00367968291985,48553.22085265618,10.19933063335109,BV,4.380172551208233,0.000297988742942352
4,P_truck,mdl_lowdrone,560794.9600876608,207100.0,66.6171472493655,91373.9266837346,13.18918517076615,BV,7.370027088623293,0.0005607949600876608
4,P_truck,multisimulation,2182895.0301296734,825800.0,271.9500155289276,355673.1151973599,13.510891149495693,BV,7.691733067352836,0.0021828950301296733
1,P_aircraft,site_num_180,132363.49344624,42700.0,11.521303648723848,21566.83459471381,11.521303648723848,BV,5.702145566580992,0.00013236349344624
4,P_truck,crew_count,562686.6811358304,206900.0,66.27657573711214,91682.15695087983,13.13214967052325,BV,7.312991588380391,0.0005626866811358303
4,P_truck,coverage,560753.6219827776,207100.0,66.62303835124665,91367.1912006549,13.190157462158554,BV,7.370999380015698,0.0005607536219827776
4,P_truck,ogi_persite_high,560794.9600876608,286060.0,92.12617070891923,91373.9266837346,18.21776103307274,BV,12.398602950929886,0.0005607949600876608
4,P_truck,mdl_lowstationary,560794.9600876608,207100.0,66.6171472493655,91373.9266837346,13.18918517076615,BV,7.370027088623293,0.0005607949600876608
4,P_truck,mdl_lowogi,578901.496974912,277700.0,86.68786423968854,94324.14109681243,17.132201582969746,BV,11.313043500826888,0.000578901496974912
4,P_truck,multiyear,3281971.1007930334,1249000.0,67.95543195360031,534752.642383094,13.591570884449375,BV,7.772412802306517,0.0032819711007930335
4,P_truck,ogi_sensor,342360.8408460096,135700.0,72.40187661941437,55783.05191251187,14.155908016385688,BV,8.33674993424283,0.0003423608408460096
1,P_aircraft,johnson,60884.771364864006,21750.0,inf,9920.347062283516,12.758292375455804,BV,6.939134293312946,6.088477136486401e-05
4,P_truck,triannual,655789.0305807648,329100.0,91.22575861046687,106851.92104957125,17.92279358220204,BV,12.103635500059182,0.0006557890305807647
4,P_truck,basecase,502376.62107533764,194900.0,69.714089308869,81855.45129468477,13.855569693539621,DV,8.036411611396764,0.0005023766210753377
1,P_aircraft,site_num,773267.6778163776,283150.0,65.69315858757136,125993.47199670036,13.077618902365842,DV,7.258460820222985,0.0007732676778163776
4,P_truck,multisimulation,2139633.9215076384,817600.0,273.9764703550216,348624.30476070935,13.647194366513393,DV,7.828036284370534,0.0021396339215076386
4,P_truck,mdl,267819.7473374112,79900.0,54.31007703618277,43637.59252372672,10.654820852236755,DV,4.835662770093899,0.0002678197473374112
4,P_truck,ogi_sensor,284592.29231652484,124700.0,79.38204813720883,46370.4510625795,15.648953077120394,DV,9.82979499497754,0.00028459229231652484
4,P_truck,mdl_lowdrone,502376.62107533764,194900.0,69.714089308869,81855.45129468477,13.855569693539621,DV,8.036411611396764,0.0005023766210753377
