,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),Region
0,P_aircraft,2,15664841.18,469510,1.076470633,2552373.24,BV
0,P_aircraft,2,19416385,473550,0.904559377,3163636.384,DV
0,P_aircraft,2,21679845.02,490830,0.882183966,3532436.47,EDM
0,P_aircraft,2,18217419.22,462270,0.959668455,2968281.184,GP
0,P_aircraft,2,16650973.09,474550,1.054231556,2713050.05,MDP
0,P_truck,2,21463477.49,490060,0.831116751,3497182.317,MH
0,P_aircraft,2,16150068.54,469830,1.050999688,2631434.452,RD
0,P_aircraft,2,15308515.58,484270,1.143206997,2494314.82,SL
0,P_aircraft,2,19426427.7,456550,0.857262465,3165272.706,WW
