Region,basecase,coverage,crew_count,johnson,mdl,mdl_lowdrone,mdl_lowogi,mdl_lowstationary,multisimulation,multiyear,ogi_persite_high,ogi_sensor,site_num,site_num_180,triannual
BV,P_truck,P_truck,P_truck,P_aircraft,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_aircraft,P_aircraft,P_truck
DV,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_aircraft,P_aircraft,P_truck
EDM,P_aircraft,P_aircraft,P_aircraft,P_truck,P_truck,P_aircraft,P_truck,P_aircraft,P_truck,P_truck,P_truck,P_aircraft,P_truck,P_truck,P_aircraft
GP,P_truck,P_truck,P_truck,P_aircraft,P_truck,P_truck,P_truck,P_truck,P_aircraft,P_truck,P_truck,P_truck,P_aircraft,P_aircraft,P_truck
MDP,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_aircraft,P_aircraft,P_aircraft
MH,P_truck,P_truck,P_truck,P_aircraft,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_aircraft,P_aircraft,P_truck
RD,P_aircraft,P_aircraft,P_aircraft,P_truck,P_truck,P_aircraft,P_truck,P_aircraft,P_aircraft,P_aircraft,P_truck,P_aircraft,P_aircraft,P_aircraft,P_aircraft
SL,P_aircraft,P_aircraft,P_aircraft,P_aircraft,P_truck,P_aircraft,P_truck,P_aircraft,P_truck,P_truck,P_truck,P_truck,P_aircraft,P_aircraft,P_aircraft
WW,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_truck,P_aircraft,P_truck,P_aircraft,P_aircraft,P_aircraft,P_truck
