,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),NEW Mitigation Ratio ($/tonne CO2e),Region,netmitigation cost $/tCO2,mitigated methane Mt
4,P_truck,basecase,560794.9600876608,207100.0,66.6171472493655,91373.9266837346,13.18918517076615,BV,7.370027088623293,0.0005607949600876608
1,P_aircraft,basecase,53386.2626455008,23150.0,inf,8698.566848971084,15.486862599388063,BV,9.667704517245205,5.33862626455008e-05
0,P_OGI,basecase,495581.754000384,223920.0,81.21672560185576,80748.3199363083,16.136879117500076,BV,10.31772103535722,0.000495581754000384
2,P_drone,basecase,63313.2174002112,31200.0,inf,10316.029380745389,17.599574939339558,BV,11.780416857196702,6.33132174002112e-05
3,P_stationary,basecase,1081825.1215214976,1151750.0,192.455127578808,176268.71918227605,38.02271527358978,BV,32.203557191446926,0.0010818251215214975
4,P_truck,basecase,502376.62107533764,194900.0,69.714089308869,81855.45129468477,13.855569693539621,DV,8.036411611396764,0.0005023766210753377
1,P_aircraft,basecase,47959.3515702816,19550.0,inf,7814.325352526977,14.558459671647016,DV,8.739301589504159,4.79593515702816e-05
0,P_OGI,basecase,465563.58662808,217120.0,83.78660817712642,75857.26702058983,16.655696315185192,DV,10.836538233042333,0.00046556358662808
2,P_drone,basecase,47959.3515702816,23300.0,inf,7814.325352526977,17.351003086924578,DV,11.53184500478172,4.79593515702816e-05
3,P_stationary,basecase,981865.5626973023,1120550.0,204.2208679252131,159981.66589293705,40.75878040493049,DV,34.939622322787635,0.0009818655626973023
1,P_aircraft,basecase,37532.317473936,13050.0,inf,6115.3816799601755,12.417869717080167,EDM,6.598711634937309,3.7532317473935994e-05
4,P_truck,basecase,604582.5146862816,230500.0,68.35032154814917,98508.51434645,13.616243700687447,EDM,7.79708561854459,0.0006045825146862815
2,P_drone,basecase,37532.317473936,16800.0,inf,6115.3816799601755,15.986223084057226,EDM,10.167065001914368,3.7532317473935994e-05
0,P_OGI,basecase,550267.8205984704,248920.0,81.14636995088068,89658.6721962043,16.15576936759858,EDM,10.336611285455724,0.0005502678205984704
3,P_stationary,basecase,1166831.9056855007,1183350.0,181.53233788542695,190119.42080521418,36.219870055036985,EDM,30.400711972894122,0.0011668319056855007
4,P_truck,basecase,542844.1674405504,213100.0,70.77548684190373,88449.0886805621,14.02007195103146,GP,8.200913868888602,0.0005428441674405504
1,P_aircraft,basecase,82968.257124432,34550.0,inf,13518.551312194468,14.872297119342665,GP,9.053139037199806,8.2968257124432e-05
2,P_drone,basecase,82968.257124432,38300.0,inf,13518.551312194468,16.4865117126143,GP,10.66735363047144,8.2968257124432e-05
0,P_OGI,basecase,468166.0996307808,225520.0,86.80977436139065,76281.31118864918,17.20390630726515,GP,11.384748225122292,0.0004681660996307808
3,P_stationary,basecase,1087750.3241980225,1155750.0,191.0283997987275,177234.1505314922,37.94693027990435,GP,32.127772197761495,0.0010877503241980226
4,P_truck,basecase,584281.0365221376,216500.0,66.15213159066032,95200.66404577688,13.23360228010737,MDP,7.414444197964512,0.0005842810365221376
1,P_aircraft,basecase,69572.9236608864,29250.0,inf,11335.963548547543,15.015077736774067,MDP,9.19591965463121,6.95729236608864e-05
0,P_OGI,basecase,539220.4915318273,239120.0,79.31167396237804,87858.65987792535,15.837677043280413,MDP,10.018518961137556,0.0005392204915318273
2,P_drone,basecase,69572.9236608864,33000.0,inf,11335.963548547543,16.940087703027153,MDP,11.120929620884295,6.95729236608864e-05
3,P_stationary,basecase,1139104.763242128,1158350.0,182.32065617388338,185601.65930397995,36.31768050850414,MDP,30.498522426361284,0.001139104763242128
4,P_truck,basecase,626375.7399991392,229100.0,65.44630306911934,102059.42459647771,13.062675219755642,MH,7.243517137612783,0.0006263757399991392
0,P_OGI,basecase,568587.3043844736,247920.0,78.07149851227675,92643.58341595645,15.572429503804972,MH,9.753271421662113,0.0005685873043844736
1,P_aircraft,basecase,40017.29619456,17850.0,inf,6520.275232130196,15.930611526089626,MH,10.111453443946768,4.0017296194559995e-05
2,P_drone,basecase,40017.29619456,21600.0,inf,6520.275232130196,19.27737865341938,MH,13.458220571276522,4.0017296194559995e-05
3,P_stationary,basecase,1154618.618537232,1177350.0,182.24317199482837,188129.43144389952,36.417405375798026,MH,30.59824729365517,0.0011546186185372321
1,P_aircraft,basecase,95584.42312652161,35150.0,67.39920383459781,15574.184314182505,13.13349081152556,RD,7.314332729382703,9.558442312652161e-05
4,P_truck,basecase,536589.8239192704,210700.0,70.42618291866518,87430.02829835218,14.023747124082865,RD,8.20458904194001,0.0005365898239192705
2,P_drone,basecase,95584.42312652161,38900.0,75.23046157830758,15574.184314182505,14.53464559227153,RD,8.715487510128673,9.558442312652161e-05
0,P_OGI,basecase,497038.1958909504,232920.0,84.25745217661847,80985.6273730708,16.736282034945486,RD,10.91712395280263,0.0004970381958909504
3,P_stationary,basecase,1066034.8593628705,1153750.0,193.48339641279725,173695.9102958092,38.65291719211139,RD,32.83375910996854,0.0010660348593628704
1,P_aircraft,basecase,33604.0802846784,11450.0,inf,5475.328750683786,12.169015428016944,SL,6.349857345874085,3.36040802846784e-05
4,P_truck,basecase,600820.0769814337,221700.0,66.25014738928675,97895.4761926457,13.17841637822269,SL,7.359258296079833,0.0006008200769814337
0,P_OGI,basecase,546553.6479134784,238720.0,78.52310840443793,89053.49817225063,15.59904378694027,SL,9.779885704797412,0.0005465536479134785
2,P_drone,basecase,33604.0802846784,15200.0,inf,5475.328750683786,16.1545008302059,SL,10.335342748063042,3.36040802846784e-05
3,P_stationary,basecase,1131296.3305516513,1163550.0,184.11829538056412,184329.38118638957,36.73251297703194,SL,30.91335489488908,0.0011312963305516513
4,P_truck,basecase,554785.2934664832,218500.0,70.39044612111024,90394.73308122551,14.06593058697017,WW,8.246772504827312,0.0005547852934664832
1,P_aircraft,basecase,64652.7954346848,25550.0,inf,10534.295438432497,14.113852214199293,WW,8.294694132056435,6.46527954346848e-05
2,P_drone,basecase,71839.8159479136,32200.0,inf,11705.32287660279,16.00783611185461,WW,10.188678029711753,7.183981594791359e-05
0,P_OGI,basecase,487307.876553936,232120.0,85.3479457151628,79400.20391353988,17.011832557733037,WW,11.19267447559018,0.00048730787655393596
3,P_stationary,basecase,1054072.2823016832,1159350.0,197.2551587672869,171746.770740121,39.281326184238495,WW,33.46216810209564,0.0010540722823016832
4,P_truck,multisimulation,2182895.0301296734,825800.0,271.9500155289276,355673.1151973599,13.510891149495693,BV,7.691733067352836,0.0021828950301296733
1,P_aircraft,multisimulation,230178.16316897282,89000.0,inf,37504.40731905071,13.809178876095439,BV,7.990020793952582,0.00023017816316897282
2,P_drone,multisimulation,240993.9989010432,109200.0,inf,39266.7009406821,16.18297558355972,BV,10.363817501416863,0.0002409939989010432
0,P_OGI,multisimulation,1939911.8863517568,897080.0,332.60519536561014,316082.310099047,16.51547766369116,BV,10.696319581548305,0.0019399118863517569
3,P_stationary,multisimulation,4200293.070236909,4595200.0,786.677631069539,684380.7422770569,39.072103534201524,BV,33.25294545205867,0.004200293070236909
4,P_truck,multisimulation,2139633.9215076384,817600.0,273.9764703550216,348624.30476070935,13.647194366513393,DV,7.828036284370534,0.0021396339215076386
1,P_aircraft,multisimulation,266128.2367038432,105400.0,inf,43361.9838260447,14.14463102791585,DV,8.325472945772992,0.00026612823670384324
2,P_drone,multisimulation,266128.2367038432,120400.0,inf,43361.9838260447,16.157624058454157,DV,10.338465976311301,0.00026612823670384324
0,P_OGI,multisimulation,1959625.2462093793,895280.0,327.9480851331996,319294.3345046139,16.316530814315385,DV,10.49737273217253,0.0019596252462093793
3,P_stationary,multisimulation,4101129.884494829,4542200.0,793.0113218145908,668223.4471717192,39.55530137797886,DV,33.736143295836,0.004101129884494829
4,P_truck,multisimulation,2417851.877770858,906800.0,268.521215080415,393956.144286728,13.394416168939324,EDM,7.575258086796467,0.0024178518777708577
1,P_aircraft,multisimulation,114854.9067290592,45100.0,inf,18714.048045452728,14.023904869070448,EDM,8.204746786927592,0.00011485490672905921
0,P_OGI,multisimulation,2207931.397059456,982080.0,318.59983961734235,359752.4513524341,15.885586735619585,EDM,10.066428653476727,0.002207931397059456
2,P_drone,multisimulation,114741.3945285504,60100.0,inf,18695.552773160376,18.706662754516977,EDM,12.887504672374115,0.0001147413945285504
3,P_stationary,multisimulation,4623159.534350803,4704800.0,728.0125241500258,753281.0927418921,36.34496499203471,EDM,30.525806909891852,0.004623159534350803
1,P_aircraft,multisimulation,392532.5630774016,146800.0,inf,63957.853034211155,13.356489718340459,GP,7.537331636197602,0.0003925325630774016
4,P_truck,multisimulation,2164831.1721303263,835200.0,277.3100572834297,352729.85472975555,13.778705615744755,GP,7.959547533601898,0.0021648311721303264
2,P_drone,multisimulation,392379.5003661504,162300.0,inf,63932.91354304009,14.772506122311722,GP,8.953348040168864,0.0003923795003661504
0,P_OGI,multisimulation,1910009.6890735105,895880.0,337.0917368823299,311210.15293601196,16.751597894372182,GP,10.932439812229324,0.0019100096890735105
3,P_stationary,multisimulation,4219521.322111892,4594400.0,781.3168605624174,687513.7249215627,38.887281698481516,GP,33.06812361633866,0.004219521322111891
4,P_truck,multisimulation,2209225.1680369154,838200.0,271.91136522353304,359963.25377195195,13.550322854738576,MDP,7.7311647725957195,0.0022092251680369155
1,P_aircraft,multisimulation,258958.6452975744,102100.0,inf,42193.79622427608,14.081123135465855,MDP,8.261965053322998,0.0002589586452975744
0,P_OGI,multisimulation,2037764.5422727105,924080.0,325.823770966957,332026.07215877075,16.195618511473945,MDP,10.37646042933109,0.0020377645422727103
2,P_drone,multisimulation,245517.5047572288,113800.0,inf,40003.74481923611,16.553954954472747,MDP,10.734796872329891,0.0002455175047572288
3,P_stationary,multisimulation,4257960.843172032,4584400.0,772.5781492309499,693776.9231117857,38.45234314240413,MDP,32.633185060261276,0.004257960843172032
4,P_truck,multisimulation,2330702.215616246,879200.0,270.2037917042025,379756.28978200327,13.472334556346455,MH,7.653176474203597,0.0023307022156162462
1,P_aircraft,multisimulation,259538.04902664002,109500.0,inf,42288.20219727492,15.067980592367304,MH,9.248822510224446,0.00025953804902664003
0,P_OGI,multisimulation,2123486.1405494497,955880.0,322.6497577259343,345993.24303870683,16.076663170374218,MH,10.257505088231362,0.0021234861405494496
2,P_drone,multisimulation,259538.04902664002,124500.0,inf,42288.20219727492,17.13208752282858,MH,11.312929440685721,0.00025953804902664003
3,P_stationary,multisimulation,4485032.6154150525,4665200.0,745.0012683137004,730775.1861946711,37.148957432691255,MH,31.329799350548395,0.004485032615415052
1,P_aircraft,multisimulation,349604.8407853056,129500.0,inf,56963.36337473819,13.229221854053902,RD,7.410063771911043,0.0003496048407853056
4,P_truck,multisimulation,2199396.083987779,848400.0,276.4953260039049,358361.7379431834,13.77650902472388,RD,7.957350942581023,0.002199396083987779
2,P_drone,multisimulation,355717.07056526403,148800.0,inf,57959.268251809044,14.939642075205645,RD,9.120483993062788,0.00035571707056526405
0,P_OGI,multisimulation,2035756.4043422593,931480.0,328.35083509186546,331698.87334086554,16.341416284474995,RD,10.522258202332136,0.0020357564043422594
3,P_stationary,multisimulation,4221487.451540592,4591600.0,779.3780505152748,687834.0790243185,38.84548187532081,RD,33.026323793177944,0.004221487451540592
4,P_truck,multisimulation,2403903.731315789,888600.0,265.0394247830057,391683.4831498301,13.201740931756689,SL,7.382582849613831,0.002403903731315789
1,P_aircraft,multisimulation,164836.2502657152,61600.0,inf,26857.82954298806,13.346578780174937,SL,7.52742069803208,0.0001648362502657152
0,P_OGI,multisimulation,2175711.808213613,956880.0,315.5956948512459,354502.7066890371,15.707174812984452,SL,9.888016730841592,0.002175711808213613
2,P_drone,multisimulation,154493.2330711776,72700.0,inf,25172.575284150655,16.806099010384187,SL,10.98694092824133,0.00015449323307117758
3,P_stationary,multisimulation,4564517.076008554,4669400.0,733.2415945744871,743726.1001501592,36.53492427288998,SL,30.715766190747125,0.004564517076008553
4,P_truck,multisimulation,2176746.3779190914,833000.0,274.9430126729708,354671.27577960596,13.667187092526676,WW,7.8480290103838195,0.0021767463779190912
1,P_aircraft,multisimulation,248507.4786523776,98500.0,inf,40490.92048044195,14.155940746467694,WW,8.336782664324836,0.00024850747865237763
2,P_drone,multisimulation,275963.1304084704,125700.0,inf,44964.44625931703,16.267701078911667,WW,10.448542996768808,0.0002759631304084704
0,P_OGI,multisimulation,1932088.7058302304,891480.0,331.5974627978472,314807.62902256974,16.478835227645618,WW,10.659677145502759,0.0019320887058302304
3,P_stationary,multisimulation,4083562.3072787425,4557400.0,800.1262890334776,665361.0489213808,39.85840632924019,WW,34.03924824709733,0.004083562307278742
4,P_truck,coverage,560753.6219827776,207100.0,66.62303835124665,91367.1912006549,13.190157462158554,BV,7.370999380015698,0.0005607536219827776
1,P_aircraft,coverage,122920.976535552,46950.0,70.29378942678734,20028.304634008997,13.641168184184927,BV,7.822010102042072,0.00012292097653555202
2,P_drone,coverage,123744.83378616,51400.0,76.60877497442942,20162.54099020441,14.834674139904156,BV,9.015516057761298,0.00012374483378616
0,P_OGI,coverage,564390.2579399712,242920.0,77.62788780814468,91959.73166727411,15.371835646810613,BV,9.552677564667755,0.0005643902579399711
3,P_stationary,coverage,1081932.3771421248,1151350.0,192.41447635090776,176286.19502980163,38.005742064729155,BV,32.18658398258629,0.001081932377142125
4,P_truck,coverage,502395.8377077504,195500.0,69.93631358224754,81858.58238409564,13.897692482883294,DV,8.078534400740436,0.0005023958377077504
1,P_aircraft,coverage,55031.5191733344,22350.0,inf,8966.639067963039,14.504674733767144,DV,8.685516651624287,5.5031519173334405e-05
0,P_OGI,coverage,501773.308211232,231320.0,82.93419189238027,81757.14965266659,16.464464004431957,DV,10.6453059222891,0.000501773308211232
2,P_drone,coverage,55031.5191733344,26100.0,inf,8966.639067963039,16.938344991110625,DV,11.119186908967768,5.5031519173334405e-05
3,P_stationary,coverage,981819.3087001728,1120750.0,204.25576444202878,159974.12943194265,40.76797569532121,DV,34.94881761317835,0.0009818193087001727
1,P_aircraft,coverage,37532.317473936,13050.0,inf,6115.3816799601755,12.417869717080167,EDM,6.598711634937309,3.7532317473935994e-05
4,P_truck,coverage,607344.5704233025,230900.0,68.09627303170753,98958.55383748157,13.577841925352253,EDM,7.758683843209398,0.0006073445704233025
0,P_OGI,coverage,605667.5840860992,267720.0,79.29799632114246,98685.31167674376,15.786594532471065,EDM,9.967436450328208,0.0006056675840860992
2,P_drone,coverage,37532.317473936,16800.0,inf,6115.3816799601755,15.986223084057226,EDM,10.167065001914368,3.7532317473935994e-05
3,P_stationary,coverage,1167314.1090953185,1183750.0,181.51816335397461,190197.98930555952,36.217146169038166,EDM,30.39798808689531,0.0011673141090953185
4,P_truck,coverage,541820.099687472,213100.0,70.96906770131699,88282.23074058644,14.046570605454157,GP,8.2274125233113,0.000541820099687472
1,P_aircraft,coverage,133291.031039856,52650.0,inf,21717.964255476512,14.107154308791326,GP,8.287996226648467,0.000133291031039856
2,P_drone,coverage,133234.49838888,56900.0,inf,21708.75302735722,15.252377437647661,GP,9.433219355504804,0.00013323449838888
0,P_OGI,coverage,543042.8137898208,249120.0,82.77952913009995,88481.45540680976,16.383869984487827,GP,10.564711902344971,0.0005430428137898208
3,P_stationary,coverage,1087420.2897097727,1155950.0,191.1069221546363,177180.37589142105,37.96501588401211,GP,32.145857801869255,0.0010874202897097726
4,P_truck,coverage,581282.7949670976,216700.0,66.57073491726807,94712.14128161452,13.31414895003693,MDP,7.494990867894073,0.0005812827949670976
1,P_aircraft,coverage,137217.0337071264,52950.0,73.17409228683013,22357.653099725816,13.78160843068287,MDP,7.9624503485400115,0.0001372170337071264
2,P_drone,coverage,137217.0337071264,56700.0,79.82421166238245,22357.653099725816,14.757643022091004,MDP,8.938484939948147,0.0001372170337071264
0,P_OGI,coverage,583699.3981992,252920.0,77.44200061826595,95105.89397603831,15.47518666410289,MDP,9.656028581960033,0.0005836993981992001
3,P_stationary,coverage,1138823.217233856,1158350.0,182.3652919343509,185555.7852035531,36.3266591610484,MDP,30.507501078905538,0.001138823217233856
4,P_truck,coverage,627713.530440768,229300.0,65.35237902947901,102277.39939017501,13.046215060133179,MH,7.227056977990322,0.000627713530440768
1,P_aircraft,coverage,66382.2923100192,27850.0,85.19319773949869,10816.093478596502,14.983556947652046,MH,9.164398865509188,6.63822923100192e-05
0,P_OGI,coverage,624362.4625810176,264920.0,75.98327670093917,101731.38836881849,15.15374343985462,MH,9.334585357711761,0.0006243624625810176
2,P_drone,coverage,66382.2923100192,31600.0,99.3871423077502,10816.093478596502,17.001091545630327,MH,11.181933463487471,6.63822923100192e-05
3,P_stationary,coverage,1154404.7776410049,1178150.0,182.4035840890014,188094.58897247148,36.44890122532973,MH,30.62974314318687,0.001154404777641005
1,P_aircraft,coverage,113977.4216979456,42650.0,68.25923706053493,18571.073770351337,13.364175667624714,RD,7.545017585481856,0.0001139774216979456
4,P_truck,coverage,537958.8972510623,211300.0,70.45496381132827,87653.100214377,14.027890625083753,RD,8.208732542940895,0.0005379588972510623
2,P_drone,coverage,113977.4216979456,46400.0,75.81017133979417,18571.073770351337,14.539220421519031,RD,8.720062339376174,0.0001139774216979456
0,P_OGI,coverage,539013.8009919457,247520.0,82.40145384793149,87824.98246000701,16.400322187913876,RD,10.581164105771018,0.0005390138009919457
