test1,test2,flange_thread,controller,meter_instru,OEL_vent_leak,PSV,pump_packing,regulator,thief_hatch,valve,cat_heater,tank_other,compressor,actuator,controller_vent,regulator_vent,pump_vent,meter_instru_vent
dist,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm
100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
kilogram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram
hour,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second
-1.79,10,0.025862177,0.20689742,0.022844923,0.002586218,0.064655444,0.007758653,0.010344871,0.34742273,0.002586218,0.002586218,0.34742273,0.002586218,0.010344871,0.036207048,0.05689679,0.062069226,0.022844923
2.17,1.2,0.025862177,0.010344871,0.106034928,0.159688683,0.064655444,0.062069226,0.015517306,0.34742273,0.019204042,0.002586218,0.34742273,0.031034613,0.092045841,0.005172435,0.012931089,0.002586218,0.022844923
,3.4,0.025862177,0.012931089,0.010344871,0.159688683,0.113793581,0.015517306,0.002586218,0.34742273,0.005172435,0.002586218,0.34742273,0.002586218,0.015517306,0.005172435,0.012931089,0.002586218,0.005172435
,1,0.002586218,0.002586218,0.007758653,0.159688683,,0.002586218,0.016748839,0.34742273,0.002586218,0.002586218,0.34742273,0.005172435,0.092045841,0.018103524,,0.002586218,0.005172435
,,0.049138137,0.005172435,0.002586218,0.005172435,,0.002586218,0.012931089,0.34742273,0.007758653,0.002586218,0.34742273,0.031034613,0.02327596,0.02327596,,0.044463051,0.022844923
,,0.012566833,0.191380113,0.022844923,0.159688683,,,0.010344871,0.34742273,0.019204042,0.002586218,0.34742273,0.051724355,0.750003147,0.010344871,,0.044463051,0.095690057
