equipment,CompressorRodPacking,Connector,ControlValve,Meter,OpenEndedLine,PSV,PumpSeal,Regulator,ThiefHatch,Valve,CatadyneHeater,Othertank,CompressorCylinderHead,Intermittent,LevelController,Positioner,PressureController,Pump,Transducer
CatalyticHeater,,1.212,,,,,,1.159,,1.197,1,,,,,,,,
DehydratorGlycol,,113.908,0.811,1.153,0.416,2.621,,5.457,,15.823,,,,,,,,,
FlareKnockOutDrum,,36.925,0.1085,0.036,0.684,0.18,,1.083,,5.94,,,,,,,,,
GasBoot,,15.9585,,,,0.348,,,,3.993,,1,,,,,,,
GasMeterBuilding,,50.7455,0.529,0.824,0.149,1.118,,1.643,,9.9955,,,,,,,,,
GasPipelineHeader,,56.049,0.436,0.511,0.063,0.334,,0.761,,15.76,,,,,,,,,
GasSweeteningAmine,,45.361,,,,0.691,,1.042,,19.046,,,,,,,,,
HeavyLiquidPipelineHeader,,29.379,,,,,,,,12.388,,,,,,,,,
Incinerator,,56.333,2.098,,,,,3.137,,8.404,,,,,,,,,
LACTUnit,,73.425,1.6945,3.701,,0.5225,,,,13.6015,,,,,,,,,
LineHeater,,57.4225,0.286,0.193,,0.659,,3.885,,7.396,,,,,,,,,
LiquidPipelineHeader,,118.561,0.438,0.031,,,,,,33.77,,,,,,,,,
LiquidPump,,32.964,,0.454,,0.595,1.045,,,7.9175,,,,,,,,,
PigTrap(GasService),,22.153,,,,0.029,,,,8.106,,,,,,,,,
PigTrap(LiquidService),,17.157,,,,,,,,5.137,,,,,,,,,
PopTank,,4.0605,,,0.998,,,,,1.311,,1,,,,,,,
PowerGenerator(naturalgasfired),,103.754,0.688,,,,,3.157,,11.179,,,,,,,,,
ProcessBoiler,,66.51,,,,1.039,,4.224,,15.725,,,,,,,,,
ProductionTank(fixedroof-heavyoil),,37.905,,,0.017,0.017,,,,14.218,,,,,,,,,
ProductionTank(fixedroof-Light/Medium Oil),,12.8325,,,0.015,0.123,,0.241,0.3225,2.8855,,,,,,,,,
PropaneFuelTank,,13.467,,,,,,1.045,,2.148,,1,,,,,,,
ReciprocatingCompressor,3.045,333.0095,1.415,0.29,0.545,3.676,,5.662,,21.158,,,1,,,,,,
Reciprocating Compressor-ElectricDriver,3.12,235.3095,0.94,0.417,,2.4,,0.103,,13.84,,,1,,,,,,
ScrewCompressor,,187.385,0.647,0.976,0.567,3.407,,4.135,,15.0575,,,1,,,,,,
ScrewCompressor-ElectricDriver,,122.3255,1.182,0.396,0.26,1.569,,0.132,,10.267,,,1,,,,,,
Scrubber,,76.711,,,,0.522,,,,12,,,,,,,,,
Separator,,88.417,0.8055,0.751,0.12,1.67,,2.501,,16.2495,,,,,,,,,
StorageBullet,,83.719,2.088,,,,,,,20.924,,1,,,,,,,
TankHeater,,54.248,,0.017,,,,3.939,,7.847,,,,,,,,,
Treater,,146.5175,0.895,0.6965,0.414,1.571,,4.887,,18.746,,,,,,,,,
Well Pump,,51.104,,,,0.3,,2.036,,6.305,,,,,,,,,
Wellhead (Bitumen Pump),,32.059,,,0.144,0.289,,0.469,,8.278,,,,,,,,,
Wellhead (CBM Flow),,31.475,,0.245,0.307,0.062,,0.063,,10.167,,,,,,,,,
Wellhead (Gas Flow),,43.948,,0.065,0.008,0.049,,0.417,,12.613,,,,,,,,,
Wellhead (Gas Pump),,72.591,,0.336,0.034,0.456,,0.557,,14.435,,,,,,,,,
Wellhead (Gas Storage),,30.684,,,,,,,,9.34,,,,,,,,,
Wellhead (Oil Flow),,33.2255,,0.05,,,,,,9.666,,,,,,,,,
Wellhead (Oil Pump),,33.658,,0.02,0.01,0.041,1.047,0.112,,6.978,,,,,,,,,
Intermittent,,,,,,,,,,,,,,1,,,,,
LevelController,,,,,,,,,,,,,,,1,,,,
Positioner,,,,,,,,,,,,,,,,1,,,
PressureController,,,,,,,,,,,,,,,,,1,,
Pump,,,,,,,,,,,,,,,,,,1,
Transducer,,,,,,,,,,,,,,,,,,,1
