Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft Deployment Cost ($),aircraft Sites flagged for Follow-Up,aircraft Leaks tagged for repair,aircraft Sites Visited,aircraft Travel Time (Minutes),aircraft Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,50390.21973,16089.41973,34300.80000,2500.00000,369,371,0,2,0.00000,0.00000,400.00000,2500.00000,0,,10,20,10,0.00000,,0,0,0,0
2022-01-02,51252.83859,16088.03859,35164.80000,0.00000,370,2,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-03,51545.96415,16087.40415,35458.56000,5512.00000,370,1,0,1,49.00000,0.00000,200.00000,0.00000,10,,0,0,0,5512.00000,,49,3,120,360
2022-01-04,51549.03695,16090.47695,35458.56000,5512.00000,372,2,0,0,63.00000,0.00000,0.00000,0.00000,0,,0,0,0,5512.00000,,63,3,120,360
2022-01-05,51551.08725,16092.52725,35458.56000,5512.00000,372,1,0,1,65.00000,0.00000,200.00000,0.00000,0,,0,0,0,5512.00000,,65,3,120,360
2022-01-06,51551.60635,16093.04635,35458.56000,2756.00000,374,2,0,0,25.00000,0.00000,0.00000,0.00000,0,,0,0,0,2756.00000,,25,1,30,120
2022-01-07,51551.19727,16092.63727,35458.56000,0.00000,373,0,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,51559.12707,16100.56707,35458.56000,0.00000,374,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,51555.79186,16097.23186,35458.56000,0.00000,375,2,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,51765.16995,16116.52995,35648.64000,0.00000,378,4,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,53184.14134,16377.74134,36806.40000,0.00000,382,4,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-12,53185.25947,16378.85947,36806.40000,0.00000,383,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-13,53185.25947,16378.85947,36806.40000,0.00000,383,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
