test1,test2,compressor_buildings,dehydrators,power_generators,tanks,separators,lineheater,level_controller,pressure_controller,pump,transducer,positioner,flange_thread,controller,meter_instru,OEL_vent_leak,PSV,pump_packing,regulator,thief_hatch,valve,cat_heater,tank_other,compressor,actuator,controller_vent,regulator_vent,pump_vent,meter_instru_vent
dist,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm,lognorm
100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
kilogram,gram,kilogram,kilogram,kilogram,kilogram,kilogram,kilogram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram,gram
hour,second,hour,hour,hour,hour,hour,hour,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second,second
-1.79,10,11.67572544,13.67232344,0.355781079,6.009928284,2.044139355,1.494228717,0.031506629,0.010762001,0.161319916,0.018777795,0.04356206,0.025862177,0.20689742,0.022844923,0.002586218,0.064655444,0.007758653,0.010344871,0.34742273,0.002586218,0.002586218,0.34742273,0.002586218,0.010344871,0.036207048,0.05689679,0.062069226,0.022844923
2.17,1.2,2.81837838,3.696015308,5.117758026,11.04343449,3.66666118,5.560703669,0.032004102,0.010762001,0.161319916,0.058817902,0.04356206,0.025862177,0.010344871,0.106034928,0.159688683,0.064655444,0.062069226,0.015517306,0.34742273,0.019204042,0.002586218,0.34742273,0.031034613,0.092045841,0.005172435,0.012931089,0.002586218,0.022844923
,3.4,9.156330596,2.987426191,1.373710136,13.86909437,1.334125725,0.851650436,0.032004102,0.010762001,0.161319916,0.012720442,0.04356206,0.025862177,0.012931089,0.010344871,0.159688683,0.113793581,0.015517306,0.002586218,0.34742273,0.005172435,0.002586218,0.34742273,0.002586218,0.015517306,0.005172435,0.012931089,0.002586218,0.005172435
,1,7.603825026,4.919085804,14.51022216,1.277483086,1.263579566,,0.031506629,0.053345698,0.161319916,0.058817902,0.04356206,0.002586218,0.002586218,0.007758653,0.159688683,,0.002586218,0.016748839,0.34742273,0.002586218,0.002586218,0.34742273,0.005172435,0.092045841,0.018103524,,0.002586218,0.005172435
,,17.37326842,6.113458643,9.633272754,24.10718027,1.167583333,,0.031506629,0.069795474,0.161319916,,0.04356206,0.049138137,0.005172435,0.002586218,0.005172435,,0.002586218,0.012931089,0.34742273,0.007758653,0.002586218,0.34742273,0.031034613,0.02327596,0.02327596,,0.044463051,0.022844923
