equipment,CompressorRodPacking,Connector,ControlValve,Meter,OpenEndedLine,PSV,PumpSeal,Regulator,ThiefHatch,Valve,CatadyneHeater,Othertank,CompressorCylinderHead,Intermittent,LevelController,Positioner,PressureController,Pump,Transducer
CatalyticHeater,,1,,,,,,1,,1,1,,,,,,,,
DehydratorGlycol,,114,1,1,0,3,,5,,16,,,,,,,,,
FlareKnockOutDrum,,37,0,0,1,0,,1,,6,,,,,,,,,
GasBoot,,16,,,,0,,,,4,,1,,,,,,,
GasMeterBuilding,,51,1,1,0,1,,2,,10,,,,,,,,,
GasPipelineHeader,,56,0,1,0,0,,1,,16,,,,,,,,,
GasSweeteningAmine,,45,,,,1,,1,,19,,,,,,,,,
HeavyLiquidPipelineHeader,,29,,,,,,,,12,,,,,,,,,
Incinerator,,56,2,,,,,3,,8,,,,,,,,,
LACTUnit,,73,2,4,,1,,,,14,,,,,,,,,
LineHeater,,57,0,0,,1,,4,,7,,,,,,,,,
LiquidPipelineHeader,,119,0,0,,,,,,34,,,,,,,,,
LiquidPump,,33,,0,,1,1,,,8,,,,,,,,,
PigTrap(GasService),,22,,,,0,,,,8,,,,,,,,,
PigTrap(LiquidService),,17,,,,,,,,5,,,,,,,,,
PopTank,,4,,,1,,,,,1,,1,,,,,,,
PowerGenerator(naturalgasfired),,104,1,,,,,3,,11,,,,,,,,,
ProcessBoiler,,67,,,,1,,4,,16,,,,,,,,,
ProductionTank(fixedroof-heavyoil),,38,,,0,0,,,,14,,,,,,,,,
ProductionTank(fixedroof-Light/Medium Oil),,13,,,0,0,,0,0,3,,,,,,,,,
PropaneFuelTank,,13,,,,,,1,,2,,1,,,,,,,
ReciprocatingCompressor,3.045,333,1,0,1,4,,6,,21,,,1,,,,,,
Reciprocating Compressor-ElectricDriver,3.12,235,1,0,,2,,0,,14,,,1,,,,,,
ScrewCompressor,,187,1,1,1,3,,4,,15,,,1,,,,,,
ScrewCompressor-ElectricDriver,,122,1,0,0,2,,0,,10,,,1,,,,,,
Scrubber,,77,,,,1,,,,12,,,,,,,,,
Separator,,88,1,1,0,2,,3,,16,,,,,,,,,
StorageBullet,,84,2,,,,,,,21,,1,,,,,,,
TankHeater,,54,,0,,,,4,,8,,,,,,,,,
Treater,,147,1,1,0,2,,5,,19,,,,,,,,,
Well Pump,,51,,,,0,,2,,6,,,,,,,,,
Wellhead (Bitumen Pump),,32,,,0,0,,0,,8,,,,,,,,,
Wellhead (CBM Flow),,31,,0,0,0,,0,,10,,,,,,,,,
Wellhead (Gas Flow),,44,,0,0,0,,0,,13,,,,,,,,,
Wellhead (Gas Pump),,73,,0,0,0,,1,,14,,,,,,,,,
Wellhead (Gas Storage),,31,,,,,,,,9,,,,,,,,,
Wellhead (Oil Flow),,33,,0,,,,,,10,,,,,,,,,
Wellhead (Oil Pump),,34,,0,0,0,1,0,,7,,,,,,,,,
Intermittent,,,,,,,,,,,,,,1,,,,,
LevelController,,,,,,,,,,,,,,,1,,,,
Positioner,,,,,,,,,,,,,,,,1,,,
PressureController,,,,,,,,,,,,,,,,,1,,
Pump,,,,,,,,,,,,,,,,,,1,
Transducer,,,,,,,,,,,,,,,,,,,1
