Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,53556.18889,21380.82889,32175.36000,6030.00000,367,369,0,2,0.00000,0.00000,400.00000,6030,0,,10,0,0,0.00000,,0,0,0,0
2022-01-02,54800.00358,21380.48358,33419.52000,30.00000,369,3,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-03,54793.21072,21373.69072,33419.52000,30.00000,367,0,0,2,0.00000,0.00000,400.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-04,54793.92520,21374.40520,33419.52000,30.00000,368,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-05,54777.54997,21358.02997,33419.52000,30.00000,367,0,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-06,54777.54997,21358.02997,33419.52000,30.00000,367,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-07,55065.83673,21646.31673,33419.52000,30.00000,368,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-08,55065.83673,21646.31673,33419.52000,30.00000,368,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-09,55167.01708,21557.41708,33609.60000,30.00000,367,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-10,55159.59681,21549.99681,33609.60000,5542.00000,365,0,0,2,70.00000,0.00000,400.00000,30,10,,10,0,0,5512.00000,,70,3,120,360
2022-01-11,55259.80905,21546.52905,33713.28000,5542.00000,365,1,0,1,58.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,58,3,120,360
2022-01-12,54399.39841,21550.11841,32849.28000,5542.00000,366,2,0,0,55.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,55,3,120,360
2022-01-13,55278.07859,22428.79859,32849.28000,2786.00000,369,3,0,0,26.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,26,1,30,120
2022-01-14,55579.19395,22436.15395,33143.04000,30.00000,370,2,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-15,55976.63395,22436.15395,33540.48000,30.00000,372,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-16,56840.63395,22436.15395,34404.48000,30.00000,373,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-17,56840.63395,22436.15395,34404.48000,30.00000,373,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-18,55991.96403,22451.48403,33540.48000,30.00000,374,2,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-19,55991.96403,22451.48403,33540.48000,5542.00000,374,0,0,0,53.00000,0.00000,0.00000,30,10,,10,0,0,5512.00000,,53,3,120,360
2022-01-20,55991.96403,22451.48403,33540.48000,5542.00000,374,0,0,0,55.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,55,3,120,360
2022-01-21,55998.40459,22457.92459,33540.48000,5542.00000,375,1,0,0,66.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,66,3,120,360
2022-01-22,55998.40459,22457.92459,33540.48000,2786.00000,375,0,0,0,21.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,21,1,30,120
2022-01-23,56248.89160,22708.41160,33540.48000,30.00000,376,1,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-24,56248.89160,22708.41160,33540.48000,30.00000,376,0,0,0,0.00000,0.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-25,39633.93854,6387.21854,33246.72000,12230.00000,313,0,61,1,0.00000,12200.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-26,38149.20296,4902.48296,33246.72000,10630.00000,261,1,53,0,0.00000,10600.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-27,36183.66979,2936.94979,33246.72000,10230.00000,212,2,51,0,0.00000,10200.00000,0.00000,30,0,,10,0,0,0.00000,,0,0,0,0
2022-01-28,34596.12254,1349.40254,33246.72000,10342.00000,188,0,24,0,26.00000,4800.00000,0.00000,30,10,,10,0,0,5512.00000,,26,3,120,360
2022-01-29,34593.53188,1346.81188,33246.72000,5542.00000,187,0,0,1,19.00000,0.00000,200.00000,30,0,,10,0,0,5512.00000,,19,3,120,360
2022-01-30,34593.53188,1346.81188,33246.72000,5542.00000,187,0,0,0,16.00000,0.00000,0.00000,30,0,,10,0,0,5512.00000,,16,3,120,360
2022-01-31,34593.53188,1346.81188,33246.72000,2786.00000,187,0,0,0,5.00000,0.00000,0.00000,30,0,,10,0,0,2756.00000,,5,1,30,120
2022-02-01,34669.14834,1422.42834,33246.72000,30.00000,187,1,0,1,0.00000,0.00000,200.00000,30,0,,10,0,0,0.00000,,0,0,0,0
