Program Name,Simulation,"Total ""True"" Mitigated Emissions (Kg Methane)","Total ""True"" Emissions (Kg Methane)","Total ""Estimated"" Emissions (Kg Methane)","Total ""True"" Mitigable Emissions (Kg Methane)","Total ""True"" Non-Mitigable Emissions (Kg Methane)","Average ""True"" Emissions Rate (g/s)","95th Percentile ""True"" Emissions Rate (g/s)","5th Percentile ""True"" Emissions Rate (g/s)","Average ""True"" Emissions Amount (Kg Methane)","95th Percentile ""True"" Emissions Amount (Kg Methane)","5th Percentile ""True"" Emissions Amount (Kg Methane)","Year 2017 ""True"" Mitigated Emissions (Kg Methane)","Year 2018 ""True"" Mitigated Emissions (Kg Methane)","Year 2019 ""True"" Mitigated Emissions (Kg Methane)","Year 2020 ""True"" Mitigated Emissions (Kg Methane)","Year 2021 ""True"" Mitigated Emissions (Kg Methane)","Year 2022 ""True"" Mitigated Emissions (Kg Methane)","Year 2017 ""True"" Emissions (Kg Methane)","Year 2018 ""True"" Emissions (Kg Methane)","Year 2019 ""True"" Emissions (Kg Methane)","Year 2020 ""True"" Emissions (Kg Methane)","Year 2021 ""True"" Emissions (Kg Methane)","Year 2022 ""True"" Emissions (Kg Methane)","Year 2017 ""Estimated"" Emissions (Kg Methane)","Year 2018 ""Estimated"" Emissions (Kg Methane)","Year 2019 ""Estimated"" Emissions (Kg Methane)","Year 2020 ""Estimated"" Emissions (Kg Methane)","Year 2021 ""Estimated"" Emissions (Kg Methane)","Year 2022 ""Estimated"" Emissions (Kg Methane)"
P_aircraft,0,37187.535365712,2046461.927593709,0.0,1461488.5748764514,584973.3527172576,0.031181572828926276,0.095690057,0.002586218,819.8966056064539,3017.681637552,48.26503013760001,19066.474505491202,18121.060860220805,0.0,0.0,0.0,0.0,284227.003836286,311957.33665555017,333079.33879075886,362978.0524128369,350475.1303604646,233648.37970312146,38026.08856474415,42334.161403195874,108.83933141360325,0.0,0.0,0.0
P_aircraft,1,39378.45490871041,2125412.828182282,0.0,1510661.9257278913,614750.9024543904,0.030892401432443047,0.095690057,0.002586218,834.8047243449654,3017.681637552,54.666851460480004,0.0,7437.507066057599,9703.0586369376,0.0,22237.889205715204,0.0,281501.57946860784,347617.35189908487,367705.4909349067,338416.71283043537,361115.95254194073,383538.35181498365,10709.256348767212,38525.00073485785,16668.879623728262,14478.13306669175,8491.964530767458,17.916438000275434
P_aircraft,2,54857.452247625595,2101136.413108925,0.0,1551139.9747017985,549996.4384071263,0.032130025871722465,0.095690057,0.002586218,847.5741884263513,3017.681637552,40.95824481216,13176.576670233599,0.0,26499.959479008,0.0,0.0,15180.916098384001,286338.07309289346,363951.1778900929,330136.46380979597,337887.7522792442,366554.4732761316,248651.1942676966,10206.32409916271,22541.183662434425,36608.53419537334,93.42581605353041,18869.980830031476,4505.935149635727
P_aircraft,3,28921.478604134398,2188968.153025219,0.0,1612847.0388218402,576121.1142033793,0.0312019295288097,0.095690057,0.002586218,829.783227075519,3017.681637552,41.11465331520001,0.0,14123.354763089796,8.243863393406897,14789.879977651199,0.0,0.0,308671.7245122677,366400.47806648625,359779.20123369043,347038.25208407827,364234.49129325163,387722.5906028002,10153.459498296394,21854.03081945219,8880.690813592571,20425.963951568978,51.41424662265794,0.0
P_aircraft,4,33593.57821114561,2124089.525396765,0.0,1569415.215431405,554674.30996536,0.03144133266190108,0.095690057,0.002586218,820.7455662274981,3017.681637552,37.4277414528,6439.582884902399,0.0,13133.726312422157,18.047475856245114,0.0,13996.904855243498,297705.47337873105,358430.7974641663,324937.693209778,342836.62841728545,364189.7047675261,258387.28492272954,29911.719393452477,9352.026597700626,15973.220861674708,39.82496260579265,13420.460480529835,20503.37556571656
P_drone,0,37145.97381202561,2046525.8340687556,0.0,1461552.4813514978,584973.3527172576,0.031181572828926276,0.095690057,0.002586218,819.9222091621617,3017.681637552,48.26503013760001,19066.474505491202,18079.4993065344,0.0,0.0,0.0,0.0,284227.27330077003,312020.9736661125,333079.33879075886,362978.0524128369,350475.1303604646,233648.37970312146,37997.37951270204,42321.48770595598,150.22208069557593,0.0,0.0,0.0
P_drone,1,40893.88747538881,2123897.395615603,0.0,1509146.4931612131,614750.9024543904,0.030892401432443047,0.095690057,0.002586218,834.209503383976,3017.681637552,54.666851460480004,0.0,8935.114769753965,9720.883499919633,0.0,22237.889205715204,0.0,281501.8368753437,346119.4890214004,367687.6638391769,338416.71283043537,361115.95254194073,383538.35181498365,10679.915920414425,38722.68521462191,16744.095199372998,14478.13306669175,8491.964530767458,17.916438000275434
P_drone,2,54787.5126438336,2101206.352712717,0.0,1551209.9143055906,549996.4384071263,0.032130025871722465,0.095690057,0.002586218,847.602401255634,3017.681637552,40.95824481216,13176.576670233599,0.0,26430.019875216007,0.0,0.0,15180.916098384001,286338.07309289346,363951.6453295269,330205.9359741539,337887.7522792442,366554.4732761316,248651.1942676966,10206.32409916271,22513.81164252898,36591.291452309546,138.04057902275824,18869.980830031476,4505.935149635727
P_drone,3,28841.260336387197,2189051.0526835294,0.0,1612929.9384801507,576121.1142033793,0.0312019295288097,0.095690057,0.002586218,829.8146522682067,3017.681637552,41.11465331520001,0.0,14043.1365638081,8.243794927898557,14789.879977651199,0.0,0.0,308672.1293185898,366482.9729184743,359779.20123369043,347038.25208407827,364234.49129325163,387722.5906028002,10125.641801040787,21826.127127157197,8936.412203143176,20425.963951568978,51.41424662265794,0.0
P_drone,4,33525.426200976,2124157.90085617,0.0,1569483.59089081,554674.30996536,0.03144133266190108,0.095690057,0.002586218,820.7719864204674,3017.681637552,37.4277414528,6439.582884902399,0.0,13133.726312422157,18.047475856245114,0.0,13928.752977540582,297705.47337873105,358430.7974641663,324937.693209778,342836.62841728545,364190.14168735594,258455.22346230454,29911.719393452477,9352.026597700626,15973.220861674708,39.82496260579265,13383.69209565167,20487.298211826735
