Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,16769746.642782582,477750.0,1.0174572319697754,2732402.587931417
P_aircraft,1,15922790.573909257,508750.0,1.1411092027370657,2594402.5928361
P_aircraft,2,19770408.163543098,486150.0,0.8782064516005635,3221319.652660058
P_aircraft,3,36471330.511001416,498750.0,0.4883973178501655,5942508.255868724
P_aircraft,4,19464949.19866073,482750.0,0.8857496237266155,3171549.260540828
P_drone,0,16547012.566509131,484500.0,1.0457217796276748,2696111.0935281888
P_drone,1,16031764.054466233,513700.0,1.1443799016189677,2612158.3423195267
P_drone,2,19768517.373186126,491700.0,0.8883172143973485,3221011.574036411
P_drone,3,36277233.112193175,506100.0,0.4982463779445406,5910882.719352783
P_drone,4,19379410.083968326,488900.0,0.9009930751276435,3157611.822883982
P_OGI,0,14820263.100942995,519240.0,1.2512791161653374,2414760.706493408
P_OGI,1,14351481.802938111,544440.0,1.3548625836187158,2338379.157080217
P_OGI,2,17540543.95361119,522040.0,1.062925172879105,2857993.547159481
P_OGI,3,20310249.229808584,536240.0,0.9429440453798441,3309279.426767338
P_OGI,4,15927246.032654809,518640.0,1.162966724120459,2595128.549361628
P_stationary,0,10207173.70406204,819500.0,2.8673811175771133,1663120.4059632027
P_stationary,1,8841867.408517044,803100.0,3.2439010371852453,1440662.2773622093
P_stationary,2,11603538.091788406,819700.0,2.522937380687132,1890639.029111924
P_stationary,3,8426100.86837127,835300.0,3.540444545248992,1372918.7631357415
P_stationary,4,7652709.091450434,822300.0,3.8375765747670663,1246905.0708744538
P_truck,0,16584353.514252985,481900.0,1.0377681753420773,2702195.294108228
P_truck,1,16013020.313113574,512100.0,1.1421509094888262,2609104.304088033
P_truck,2,19854876.278127365,491300.0,0.8837339666910019,3235082.5853867177
P_truck,3,36295727.29152479,503700.0,0.4956309476814449,5913896.094840428
P_truck,4,19530144.566515405,489100.0,0.894404907417118,3182171.9607903827
