Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,35796.16165,11500.48165,24295.68000,500.00000,343,346,0,1,0.00000,0.00000,200.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,36002.54614,11413.10614,24589.44000,500.00000,344,4,0,3,0.00000,0.00000,600.00000,500.00000,0,,1,30,20,0.00000,,0,0,0,0
2022-01-03,36232.58763,11349.38763,24883.20000,5512.00000,343,1,0,2,45.00000,0.00000,400.00000,0.00000,9,,0,0,0,5512.00000,,45,3,120,360
2022-01-04,36232.58763,11349.38763,24883.20000,5512.00000,343,0,0,0,66.00000,0.00000,0.00000,0.00000,1,,0,0,0,5512.00000,,66,3,120,360
2022-01-05,36232.58763,11349.38763,24883.20000,5512.00000,343,0,0,0,68.00000,0.00000,0.00000,0.00000,0,,0,0,0,5512.00000,,68,3,120,360
2022-01-06,36232.58763,11349.38763,24883.20000,2756.00000,343,0,0,0,17.00000,0.00000,0.00000,0.00000,0,,0,0,0,2756.00000,,17,1,30,120
2022-01-07,36232.58763,11349.38763,24883.20000,0.00000,343,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,36299.50923,11416.30923,24883.20000,0.00000,344,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,36299.50923,11416.30923,24883.20000,0.00000,344,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,37185.19861,12008.23861,25176.96000,0.00000,346,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
