Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft_mdl_high Deployment Cost ($),aircraft_mdl_high Sites flagged for Follow-Up,aircraft_mdl_high Leaks tagged for repair,aircraft_mdl_high Sites Visited,aircraft_mdl_high Travel Time (Minutes),aircraft_mdl_high Survey Time (Minutes),OGI_FU_mdl_high Deployment Cost ($),OGI_FU_mdl_high Sites flagged for Follow-Up,OGI_FU_mdl_high Leaks tagged for repair,OGI_FU_mdl_high Sites Visited,OGI_FU_mdl_high Travel Time (Minutes),OGI_FU_mdl_high Survey Time (Minutes)
2022-01-01,51088.59608,7663.95608,43424.64000,250.00000,412,413,0,1,0.00000,0.00000,200.00000,250.00000,0,,10,20,10,0.00000,,0,0,0,0
2022-01-02,51091.10680,7666.46680,43424.64000,0.00000,413,2,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-03,51091.10680,7666.46680,43424.64000,1000.00000,413,0,0,0,59.00000,0.00000,0.00000,0.00000,10,,0,0,0,1000.00000,,59,3,120,360
2022-01-04,51095.62227,7670.98227,43424.64000,1000.00000,413,2,0,2,64.00000,0.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,64,3,120,360
2022-01-05,50801.86227,7670.98227,43130.88000,1000.00000,412,0,0,0,72.00000,0.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,72,3,120,360
2022-01-06,50508.10227,7670.98227,42837.12000,500.00000,411,0,0,0,19.00000,0.00000,0.00000,0.00000,0,,0,0,0,500.00000,,19,1,30,120
2022-01-07,50404.42227,7670.98227,42733.44000,0.00000,410,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,50404.42227,7670.98227,42733.44000,0.00000,410,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,50407.50528,7674.06528,42733.44000,0.00000,411,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,50718.86147,7691.66147,43027.20000,0.00000,413,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,50720.63317,7693.43317,43027.20000,0.00000,412,1,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-12,49646.19794,7690.35794,41955.84000,0.00000,410,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-13,49945.76768,7696.16768,42249.60000,0.00000,412,3,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-14,50818.05005,7704.45005,43113.60000,0.00000,414,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-15,50524.29005,7704.45005,42819.84000,0.00000,413,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
