Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,1255318.94962792,37750.0,1.0740013811740035,204537.18351904303
P_aircraft,1,1093376.3457514828,38150.0,1.2461400004620982,178150.8343776998
P_aircraft,2,2287377.6228635656,38150.0,0.5956602820544723,372697.13546797854
P_aircraft,3,2078944.1624965584,39950.0,0.6863030474913374,338735.73231443577
P_aircraft,4,1926210.452279432,36550.0,0.6776814762438933,313849.84739611734
P_drone,0,1249898.6163014034,37900.0,1.0829449772308775,203654.01377746562
P_drone,1,1093912.435417962,37100.0,1.2112486860008533,178238.1829121323
P_drone,2,2276743.60079531,37100.0,0.5819715489865228,370964.4659149817
P_drone,3,2075154.9101751975,39900.0,0.6866957223351063,338118.32508284424
P_drone,4,1930046.8084657197,37100.0,0.6865118473749876,314474.92956312496
P_OGI,0,1225431.2855284463,43104.0,1.256234102726306,199667.39434021997
P_OGI,1,850180.0219028518,40904.0,1.7182915444043119,138525.2944805064
P_OGI,2,2234810.895452167,43304.0,0.6920368214235472,364132.100761279
P_OGI,3,1729228.0954169503,45704.0,0.9439389277862379,281754.2461247933
P_OGI,4,1811624.644654971,39904.0,0.7866656381318325,295179.64539708843
P_stationary,0,3236495.5142260767,260950.0,2.879547589724192,527343.0128239777
P_stationary,1,2733985.771924206,248750.0,3.249442137797219,445465.871232377
P_stationary,2,3597585.5551161654,258550.0,2.566701591932095,586177.7336591297
P_stationary,3,3477667.820475769,260150.0,2.6716385543977417,566638.7665268318
P_stationary,4,3851230.9781649048,263350.0,2.4421690613162745,627505.812438043
P_truck,0,1250630.8126229271,39500.0,1.1280021821592723,203773.31522944465
P_truck,1,1094837.5294744868,37900.0,1.236321730057182,178388.91443169382
P_truck,2,2283783.0182463536,38300.0,0.5989435650972998,372111.4434376885
P_truck,3,2082283.3227342784,41300.0,0.708357015539631,339279.80315041286
P_truck,4,1927371.768140216,37900.0,0.7022887078384125,314039.068052279
