Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI_mdl_high Deployment Cost ($),OGI_mdl_high Sites flagged for Follow-Up,OGI_mdl_high Leaks tagged for repair,OGI_mdl_high Sites Visited,OGI_mdl_high Travel Time (Minutes),OGI_mdl_high Survey Time (Minutes)
2022-01-01,1002.54214,692.91601,309.62612,2876.00000,370,373,0,1,18,0.00000,200.00000,2876.00000,,18,3,180,300
2022-01-02,1000.30764,690.23462,310.07302,2876.00000,370,1,0,1,22,0.00000,200.00000,2876.00000,,22,3,180,360
2022-01-03,1013.90080,692.91601,320.98479,2876.00000,373,3,0,0,10,0.00000,0.00000,2876.00000,,10,3,180,300
2022-01-04,1019.26359,698.27879,320.98479,2876.00000,375,2,0,0,25,0.00000,0.00000,2876.00000,,25,3,180,360
2022-01-05,1019.26359,698.27879,320.98479,0.00000,375,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,1019.04014,698.05534,320.98479,0.00000,374,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-07,1019.04014,698.05534,320.98479,0.00000,374,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,1015.01805,694.03326,320.98479,0.00000,375,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-09,1016.99185,694.03326,322.95859,0.00000,376,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-10,1027.68017,693.80981,333.87036,0.00000,377,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-11,1025.92982,694.03326,331.89656,0.00000,377,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,1026.60017,694.70361,331.89656,0.00000,379,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-13,1023.65809,690.45807,333.20002,0.00000,377,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-14,1023.21119,690.01117,333.20002,0.00000,376,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-15,1022.98774,690.23462,332.75312,0.00000,376,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-16,922.88249,599.06734,323.81515,2800.00000,360,0,14,1,0,2800.00000,200.00000,0.00000,,0,0,0,0
2022-01-17,834.62005,510.13456,324.48550,2800.00000,348,2,14,0,0,2800.00000,0.00000,0.00000,,0,0,0,0
2022-01-18,777.64050,453.15501,324.48550,1800.00000,338,0,9,1,0,1800.00000,200.00000,0.00000,,0,0,0,0
2022-01-19,652.06204,327.57655,324.48550,4400.00000,317,1,22,0,0,4400.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,662.78761,338.30211,324.48550,0.00000,318,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-21,662.78761,338.30211,324.48550,0.00000,318,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-22,662.78761,338.30211,324.48550,0.00000,318,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-23,664.35175,339.86625,324.48550,0.00000,319,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-24,674.33248,345.89938,328.43310,0.00000,322,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-25,671.42764,343.21799,328.20965,0.00000,320,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-26,671.42764,343.21799,328.20965,0.00000,320,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-27,668.74625,340.53660,328.20965,0.00000,319,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-28,664.31451,338.07866,326.23585,0.00000,318,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-29,662.34071,338.07866,324.26205,0.00000,317,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-30,677.72146,351.48561,326.23585,0.00000,318,3,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-31,677.72146,351.48561,326.23585,0.00000,318,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-01,679.06216,354.16700,324.89515,0.00000,317,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-02,679.06216,354.16700,324.89515,0.00000,317,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-03,681.74355,356.84839,324.89515,0.00000,318,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
