Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,43605.11196,6021.11196,37584.00000,500.00000,349,352,0,2,0.00000,0.00000,400.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,43605.11196,6021.11196,37584.00000,500.00000,349,0,0,0,0.00000,0.00000,0.00000,500.00000,0,,1,30,20,0.00000,,0,0,0,0
2022-01-03,44175.35196,6021.11196,38154.24000,5512.00000,349,1,0,0,55.00000,0.00000,0.00000,0.00000,9,,0,0,0,5512.00000,,55,3,120,360
2022-01-04,44398.54490,6157.90490,38240.64000,5512.00000,353,4,0,0,50.00000,0.00000,0.00000,0.00000,1,,0,0,0,5512.00000,,50,3,120,360
2022-01-05,43546.97116,6170.33116,37376.64000,5512.00000,353,1,0,0,40.00000,0.00000,0.00000,0.00000,0,,0,0,0,5512.00000,,40,3,120,360
2022-01-06,43546.97116,6170.33116,37376.64000,2756.00000,353,0,0,0,21.00000,0.00000,0.00000,0.00000,0,,0,0,0,2756.00000,,21,1,30,120
2022-01-07,42686.79561,6174.15561,36512.64000,0.00000,352,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,42686.79561,6174.15561,36512.64000,0.00000,352,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,42686.51984,6173.87984,36512.64000,0.00000,351,0,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,42686.51984,6173.87984,36512.64000,0.00000,351,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
