,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),Region
0,P_truck,2.0,1589772.6524401745,34660.0,0.7885675499376109,259031.874618074,BV
1,P_drone,2.0,1585058.1207675084,34640.0,0.7900352826215586,258263.7056756517,BV
2,P_aircraft,2.0,1592879.2209214855,35270.0,0.7985635211850832,259538.04778447506,BV
3,P_OGI,2.0,1288801.6110325877,39624.0,1.1114690827464657,209992.7287113325,BV
4,P_stationary,2.0,4047783.587709515,250230.0,2.6012224852409003,659531.3922171809,BV
0,P_aircraft,2.0,1651580.5827012358,38510.0,0.8737382877243028,269102.63789181097,DV
1,P_truck,2.0,1652759.617135164,38620.0,0.8749124786565423,269294.7455489598,DV
2,P_drone,2.0,1646639.5925451,38700.0,0.8785795681398456,268297.5706133867,DV
3,P_OGI,2.0,1599365.1782759363,41664.0,0.9874301183421297,260594.84649694347,DV
4,P_stationary,2.0,2900611.652996904,254110.0,3.252746222433557,472615.2968234513,DV
0,P_drone,2.0,1715291.3615222326,37020.0,0.9164171966381668,279483.44450969395,EDM
1,P_truck,2.0,1714989.3606734432,36900.0,0.9173832580554381,279434.2375706526,EDM
2,P_aircraft,2.0,1716938.2134536505,37510.0,0.9282593628449476,279751.77667804447,EDM
3,P_OGI,2.0,1509130.0227397315,41824.0,1.1437078379896524,245892.25272724958,EDM
4,P_stationary,2.0,2984920.024244301,260630.0,3.3569824784735416,486352.20154167584,EDM
0,P_aircraft,2.0,1930178.1886816262,36950.0,0.8016003008369724,314496.3361859913,GP
1,P_truck,2.0,1929310.2446737527,36660.0,0.8056055613686732,314354.91649111995,GP
2,P_drone,2.0,1930990.4298902429,37940.0,0.8271387231237511,314628.6798658169,GP
3,P_OGI,2.0,1787359.2431226051,40904.0,1.0192535770159976,291225.92758867017,GP
4,P_stationary,2.0,3324206.0825684867,252750.0,2.8768541205597646,541634.259378432,GP
0,P_aircraft,2.0,1450137.1128010643,35110.0,0.9693260351692871,236280.1588048054,MDP
1,P_truck,2.0,1455955.2652270962,36100.0,0.9878059068733442,237228.14776877168,MDP
2,P_drone,2.0,1417347.9979529039,35320.0,1.0084312243666487,230937.61760990586,MDP
3,P_OGI,2.0,1375094.86054342,40904.0,1.2052121644694325,224053.04240044174,MDP
4,P_stationary,2.0,3164035.6389141656,251310.0,3.0163134303620254,515536.6596905114,MDP
0,P_aircraft,2.0,2089643.9523456905,35790.0,0.6542332745682414,340479.1178346143,MH
1,P_drone,2.0,2068817.5959330231,36560.0,0.6701322169307552,337085.74574788415,MH
2,P_truck,2.0,2102224.496014498,37540.0,0.6789238204088346,342528.9466609209,MH
3,P_OGI,2.0,2035867.8270091482,41984.0,0.7957938908105218,331717.0281520173,MH
4,P_stationary,2.0,3951807.1553838653,256270.0,2.34991836371397,643893.3353250158,MH
0,P_aircraft,2.0,1158228.0220988244,33910.0,1.0798913402870924,188717.53476129984,RD
1,P_truck,2.0,1156161.3666380146,34460.0,1.1013500770019031,188380.80130612216,RD
2,P_drone,2.0,1158726.84989471,35620.0,1.132732604742046,188798.81197970058,RD
3,P_OGI,2.0,1105321.0965504446,39064.0,1.3212508219541512,180097.06938592668,RD
4,P_stationary,2.0,2508058.181161798,250150.0,3.6717436535197643,408654.03699098143,RD
0,P_drone,2.0,1725151.2742311186,37820.0,0.8498745563856694,281089.9834501097,SL
1,P_aircraft,2.0,1728245.5066037918,38110.0,0.8559572374851611,281594.14661505487,SL
2,P_truck,2.0,1727781.2902436524,38980.0,0.8747826401383596,281518.5088603038,SL
3,P_OGI,2.0,1570254.9885910773,42584.0,1.0794334068944473,255851.7362207774,SL
4,P_stationary,2.0,3379393.1279814243,258350.0,2.7618997870335042,550626.2393360718,SL
0,P_aircraft,2.0,1290288.5656218797,34710.0,1.0278374311503367,210235.00777818216,WW
1,P_drone,2.0,1276938.340877672,34800.0,1.0430155041950375,208059.76986805908,WW
2,P_truck,2.0,1291229.926142594,35660.0,1.0537986916127173,210388.38969728723,WW
3,P_OGI,2.0,1257930.8580299623,39864.0,1.2243177683898134,204962.75853989468,WW
4,P_stationary,2.0,3264757.51870755,250510.0,2.9022997357303586,531947.9228342635,WW
