,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),Region
0,P_truck,2.0,1589772.6524401745,50452.0,1.149431990199039,259031.874618074,BV
1,P_drone,2.0,1591962.1741534194,51372.0,1.1664780454208057,259388.6274613364,BV
2,P_aircraft,2.0,1592879.2209214855,53312.0,1.2101005686412019,259538.04778447506,BV
3,P_OGI,2.0,1288801.6110325877,50168.0,1.407828004468345,209992.7287113325,BV
4,P_stationary,2.0,4047603.730552194,881790.0,9.182959086093893,659502.0869347227,BV
0,P_truck,2.0,1652759.617135164,54412.0,1.2336730275121943,269294.7455489598,DV
1,P_OGI,2.0,1599365.1782759363,52208.0,1.2376898532327363,260594.84649694347,DV
2,P_drone,2.0,1649441.3323357312,54732.0,1.2452081598732339,268754.0760822947,DV
3,P_aircraft,2.0,1651580.5827012358,56552.0,1.2840833185214309,269102.63789181097,DV
4,P_stationary,2.0,2899540.0704758773,885510.0,11.351633719658627,472440.69699698954,DV
0,P_truck,2.0,1714989.3606734432,52692.0,1.2992303250717596,279434.2375706526,EDM
1,P_drone,2.0,1713912.1385542802,53292.0,1.3123610133216193,279258.71884822485,EDM
2,P_aircraft,2.0,1716938.2134536505,55552.0,1.3638831549981199,279751.77667804447,EDM
3,P_OGI,2.0,1509130.0227397315,52368.0,1.4287206441692462,245892.25272724958,EDM
4,P_stationary,2.0,2984572.659729997,892670.0,11.499594881849802,486295.6032090917,EDM
0,P_truck,2.0,1929310.2446737527,52452.0,1.1504985209498122,314354.91649111995,GP
1,P_drone,2.0,1931704.0140442483,53972.0,1.1764164872774898,314744.94871773483,GP
2,P_aircraft,2.0,1930178.1886816262,54992.0,1.1957894707252321,314496.3361859913,GP
3,P_OGI,2.0,1787359.2431226051,51448.0,1.2846663495482376,291225.92758867017,GP
4,P_stationary,2.0,3324519.076542139,884270.0,10.0631464182146,541685.2574979523,GP
0,P_truck,2.0,1455955.2652270962,51892.0,1.4244313585246517,237228.14776877168,MDP
1,P_drone,2.0,1451826.887639524,52252.0,1.4447442512170958,236555.4846782357,MDP
2,P_aircraft,2.0,1450137.1128010643,53152.0,1.470538637406268,236280.1588048054,MDP
3,P_OGI,2.0,1375094.86054342,51448.0,1.5174289103753487,224053.04240044174,MDP
4,P_stationary,2.0,3159030.1287101163,883030.0,10.623250833421327,514721.0797460554,MDP
0,P_drone,2.0,2091436.312349222,52972.0,0.9638276898337876,340771.1585682328,MH
1,P_truck,2.0,2102224.496014498,53332.0,0.9647176801137076,342528.9466609209,MH
2,P_aircraft,2.0,2089643.9523456905,53832.0,0.9823511842510335,340479.1178346143,MH
3,P_OGI,2.0,2035867.8270091482,52528.0,0.9953984865304587,331717.0281520173,MH
4,P_stationary,2.0,3951824.333998798,887950.0,8.136125132514163,643896.1343471417,MH
0,P_drone,2.0,1159688.66012135,50332.0,1.6076604940512822,188955.52590080808,RD
1,P_truck,2.0,1156161.3666380146,50252.0,1.61136138778181,188380.80130612216,RD
2,P_aircraft,2.0,1158228.0220988244,51952.0,1.6628612770447906,188717.53476129984,RD
3,P_OGI,2.0,1105321.0965504446,49608.0,1.6819477926843842,180097.06938592668,RD
4,P_stationary,2.0,2508122.3144761077,881870.0,12.951407145550391,408664.4866440218,RD
0,P_drone,2.0,1725453.419380861,54172.0,1.2159033673040458,281139.2139010327,SL
1,P_truck,2.0,1727781.2902436524,54772.0,1.230094438497687,281518.5088603038,SL
2,P_aircraft,2.0,1728245.5066037918,56152.0,1.2617163780693064,281594.14661505487,SL
3,P_OGI,2.0,1570254.9885910773,53128.0,1.3483061065981459,255851.7362207774,SL
4,P_stationary,2.0,3380688.1820751564,889990.0,9.52571167848777,550837.2508219697,SL
0,P_drone,2.0,1288172.9341357606,51092.0,1.5233058036135398,209890.29434446612,WW
1,P_truck,2.0,1291229.926142594,51452.0,1.5299527606199212,210388.38969728723,WW
2,P_OGI,2.0,1257930.8580299623,50408.0,1.5534659104162916,204962.75853989468,WW
3,P_aircraft,2.0,1290288.5656218797,52752.0,1.571217717481227,210235.00777818216,WW
4,P_stationary,2.0,3266903.8187343506,882350.0,10.22152205301673,532297.6332903982,WW
