,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),Region
0,P_aircraft,2.0,15664841.176942915,469510.0,1.0764706331322418,2552373.2399281645,BV
1,P_truck,2.0,15697425.203283673,473340.0,1.0816362921525784,2557682.364734593,BV
2,P_drone,2.0,15687792.438988257,475620.0,1.0885201587105189,2556112.8365449077,BV
3,P_OGI,2.0,16513300.086881895,510720.0,1.1425425058326646,2690618.102576015,BV
4,P_stationary,2.0,9221877.851073967,822140.0,3.356863255076584,1502579.8208291158,BV
0,P_aircraft,2.0,19416385.0042258,473550.0,0.9045593771888019,3163636.384253463,DV
1,P_drone,2.0,19197190.44461646,479140.0,0.9247421607306195,3127921.6060463144,DV
2,P_truck,2.0,19108886.245788716,478140.0,0.9262569035847491,3113533.6354620373,DV
3,P_OGI,2.0,18801811.664427668,516880.0,1.0195110329906578,3063500.000567499,DV
4,P_stationary,2.0,9192459.082308743,825300.0,3.296440091107499,1497786.4317803641,DV
0,P_aircraft,2.0,21679845.017979417,490830.0,0.8821839655768372,3532436.469967425,EDM
1,P_truck,2.0,21655624.392706823,495620.0,0.8907377813240936,3528490.0478427573,EDM
2,P_drone,2.0,21600787.438064598,496980.0,0.895531669743235,3519555.110424178,EDM
3,P_OGI,2.0,16589956.823991138,528120.0,1.1549955284326923,2703108.2773724142,EDM
4,P_stationary,2.0,9346277.832837839,819980.0,3.202448131093109,1522849.1092895062,EDM
0,P_aircraft,2.0,18217419.216953408,462270.0,0.9596684551689136,2968281.183619333,GP
1,P_truck,2.0,18287859.99739631,466500.0,0.9681620883507882,2979758.5526504824,GP
2,P_drone,2.0,18213229.041804314,467540.0,0.971301005078088,2967598.451454968,GP
3,P_OGI,2.0,16995107.863736022,504080.0,1.1514298531472185,2769122.139900175,GP
4,P_stationary,2.0,11365808.132970288,826940.0,2.6260352140543035,1851904.159197654,GP
0,P_aircraft,2.0,16650973.090702388,474550.0,1.0542315563924405,2713050.0498165134,MDP
1,P_truck,2.0,16764714.990967035,479100.0,1.0596899383945377,2731582.7485662056,MDP
2,P_drone,2.0,16664513.290796464,480300.0,1.0686441209079376,2715256.241631229,MDP
3,P_OGI,2.0,14815837.705738734,511560.0,1.2638783486650702,2414039.6484138602,MDP
4,P_stationary,2.0,9888474.873589657,830620.0,3.046869536491519,1611192.7574600433,MDP
0,P_truck,2.0,21463477.485352643,490060.0,0.8311167508198057,3497182.31743387,MH
1,P_aircraft,2.0,21048922.173931688,486030.0,0.8390387342039123,3429636.1564872563,MH
2,P_drone,2.0,21134915.82513326,491220.0,0.8466290361157931,3443647.6546985293,MH
3,P_OGI,2.0,23407556.73584011,526400.0,0.8783960956269834,3813943.6429522806,MH
4,P_stationary,2.0,11704629.257753711,834540.0,2.661996625732745,1907110.4624248114,MH
0,P_aircraft,2.0,16150068.539444795,469830.0,1.0509996875819598,2631434.4523171955,RD
1,P_truck,2.0,16253223.006145125,473740.0,1.0527075213276682,2648242.07247823,RD
2,P_drone,2.0,16133558.143143728,475180.0,1.0651784253666563,2628744.307347103,RD
3,P_OGI,2.0,15582455.561089933,512880.0,1.1872411568634489,2538949.622102556,RD
4,P_stationary,2.0,8350904.391397966,823940.0,3.577950016729291,1360666.517907361,RD
0,P_aircraft,2.0,15308515.577674136,484270.0,1.1432069970722285,2494314.8201841037,SL
1,P_truck,2.0,15388877.523641702,488940.0,1.14998210938952,2507408.7084705727,SL
2,P_drone,2.0,15424693.224977788,491060.0,1.1519598989204105,2513244.390851703,SL
3,P_OGI,2.0,15097213.658281108,527560.0,1.2788743730198238,2459886.0405678735,SL
4,P_stationary,2.0,8788411.516235577,822900.0,3.363855626347642,1431952.3653091893,SL
0,P_aircraft,2.0,19426427.704323374,456550.0,0.8572624654888822,3165272.7059177635,WW
1,P_truck,2.0,19278045.31632633,461380.0,0.8676721829560238,3141095.8098916663,WW
2,P_drone,2.0,19179835.81479936,462620.0,0.8751901524875227,3125093.904684157,WW
3,P_OGI,2.0,18066779.116583616,500120.0,1.0143958747655393,2943736.4240076053,WW
4,P_stationary,2.0,8340667.988629727,808260.0,3.4989182040122118,1358998.6350221368,WW
