,Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($),Region
0,P_drone,2.0,1596520.5539552344,34180.0,0.7715843087504368,260131.35357596222,BV
1,P_truck,2.0,1596577.0739798578,34020.0,0.7723232006181329,260140.56274678878,BV
2,P_aircraft,2.0,1598191.135140845,34510.0,0.7788487214832643,260403.55210418967,BV
3,P_OGI,2.0,1288801.6110325877,39624.0,1.1114690827464657,209992.7287113325,BV
4,P_stationary,2.0,4075662.753356581,250870.0,2.5985574599474326,664073.9238359397,BV
0,P_aircraft,2.0,1694564.3368784308,50870.0,1.127565564963212,276106.2571864008,DV
1,P_truck,2.0,1694559.1909726355,51420.0,1.13972468635957,276105.41873090045,DV
2,P_drone,2.0,1694559.1909726355,51620.0,1.1441471556138638,276105.41873090045,DV
3,P_OGI,2.0,1623374.1989957625,54064.0,1.248516161209899,264506.7905319946,DV
4,P_stationary,2.0,2917937.9258386055,244430.0,3.1120815307617953,475438.37780137674,DV
0,P_aircraft,2.0,1754196.6582866176,49430.0,1.1909513456760066,285822.53452862374,EDM
1,P_truck,2.0,1755535.0679479516,49980.0,1.2029986553047527,286040.61021576694,EDM
2,P_drone,2.0,1755535.0679479516,50180.0,1.2077079644583608,286040.61021576694,EDM
3,P_OGI,2.0,1700701.6235448266,53184.0,1.3257985368396976,277106.244743002,EDM
4,P_stationary,2.0,3003050.6322133564,249590.0,3.1980545401229374,489306.33801079995,EDM
0,P_aircraft,2.0,1977647.7680077595,48910.0,1.0327251998155527,322230.85979935585,GP
1,P_truck,2.0,1978558.5492348995,49460.0,1.0437597482078906,322379.2592376472,GP
2,P_drone,2.0,1978558.5492348995,49660.0,1.0479946022279996,322379.2592376472,GP
3,P_OGI,2.0,1903566.0019739978,51104.0,1.1441351763728072,310160.241587822,GP
4,P_stationary,2.0,3344434.183453554,242870.0,2.7501802856795083,544930.1538474807,GP
0,P_aircraft,2.0,1491381.7822364322,47110.0,1.2575321384120823,243000.41784652913,MDP
1,P_truck,2.0,1493371.5415841832,47660.0,1.2708087629589548,243324.62212384865,MDP
2,P_drone,2.0,1493371.5415841832,47860.0,1.2761880995352444,243324.62212384865,MDP
3,P_OGI,2.0,1206670.4860593642,51664.0,1.5988701746111404,196610.57672019678,MDP
4,P_stationary,2.0,3178552.153340199,240710.0,2.874761321833573,517901.9286734217,MDP
0,P_aircraft,2.0,2145338.1770690437,49830.0,0.8847253141982353,349553.7357765866,MH
1,P_truck,2.0,2151475.0843592156,50380.0,0.8923972583019774,350553.6615189817,MH
2,P_drone,2.0,2151475.0843592156,50580.0,0.8959209943721884,350553.6615189817,MH
3,P_OGI,2.0,2047509.3647753098,54104.0,1.016221817938798,333613.85871227214,MH
4,P_stationary,2.0,3980859.493547637,244110.0,2.222394715114274,648627.0194810799,MH
0,P_aircraft,2.0,1192556.559804406,46110.0,1.4319302992577168,194310.90401515213,RD
1,P_truck,2.0,1190113.3544226573,46620.0,1.4519729353549427,193912.8168615331,RD
2,P_drone,2.0,1190113.3544226573,46820.0,1.4582559607123167,193912.8168615331,RD
3,P_OGI,2.0,1153081.7926087214,50864.0,1.6373152639829516,187879.02651926278,RD
4,P_stationary,2.0,2517274.471526467,240550.0,3.5135502393130027,410155.7064067436,RD
0,P_aircraft,2.0,1777051.6352226208,51310.0,1.1073447313490505,289546.4427937451,SL
1,P_truck,2.0,1778447.8912718624,51940.0,1.1200138449907269,289773.94376460824,SL
2,P_drone,2.0,1778447.8912718624,52140.0,1.1243699208113793,289773.94376460824,SL
3,P_OGI,2.0,1675597.8271639892,55384.0,1.319402477849811,273015.9218741455,SL
4,P_stationary,2.0,3402015.2689259006,247950.0,2.633815999109224,554312.2101368197,SL
0,P_aircraft,2.0,1325247.979588168,46430.0,1.343233677749875,215931.1697553914,WW
1,P_truck,2.0,1325676.5283420454,47020.0,1.3598111145151204,216000.99595784355,WW
2,P_drone,2.0,1325676.5283420454,47220.0,1.3656492048930844,216000.99595784355,WW
3,P_OGI,2.0,1241170.6041233265,49264.0,1.588858095274904,202231.9026644669,WW
4,P_stationary,2.0,3276124.0738612595,241190.0,2.7799435247484814,533799.948710351,WW
