Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU_persitehigh Deployment Cost ($),OGI_FU_persitehigh Sites flagged for Follow-Up,OGI_FU_persitehigh Leaks tagged for repair,OGI_FU_persitehigh Sites Visited,OGI_FU_persitehigh Travel Time (Minutes),OGI_FU_persitehigh Survey Time (Minutes)
2022-01-01,43384.17642,10915.05642,32469.12000,500.00000,363,363,0,0,0.00000,0.00000,0.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,43482.99905,11013.87905,32469.12000,500.00000,362,1,0,2,0.00000,0.00000,400.00000,500.00000,0,,1,30,20,0.00000,,0,0,0,0
2022-01-03,43482.99905,11013.87905,32469.12000,5512.00000,362,0,0,0,49.00000,0.00000,0.00000,0.00000,9,,0,0,0,5512.00000,,49,3,120,360
2022-01-04,43482.99905,11013.87905,32469.12000,5512.00000,362,0,0,0,59.00000,0.00000,0.00000,0.00000,1,,0,0,0,5512.00000,,59,3,120,360
2022-01-05,43396.90177,11014.18177,32382.72000,5512.00000,362,1,0,0,58.00000,0.00000,0.00000,0.00000,0,,0,0,0,5512.00000,,58,3,120,360
2022-01-06,43493.63392,11024.51392,32469.12000,2756.00000,364,2,0,0,33.00000,0.00000,0.00000,0.00000,0,,0,0,0,2756.00000,,33,1,30,120
2022-01-07,43303.60776,11024.56776,32279.04000,0.00000,365,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,43597.36776,11024.56776,32572.80000,0.00000,366,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,43605.05223,11032.25223,32572.80000,0.00000,367,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,43605.05223,11032.25223,32572.80000,0.00000,367,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,43613.45748,11040.65748,32572.80000,0.00000,368,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-12,43613.45748,11040.65748,32572.80000,0.00000,368,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-13,44477.45748,11040.65748,33436.80000,0.00000,369,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
